1	obama family tree find the time magazine photo essay "barack obama's family tree". where did barack obama's parents and grandparents come from? find biographical information on barack obama's mother.
2	french lick resort and casino find the homepage for french lick resort and casino. what casinos are located within a day's drive of french lickresort and casino? what jobs are available at french lick casino and resort? are there discounted packages for staying at french lick resortand casino?
3	getting organized find tips on getting organized, both reducing clutter and managing time. take me to the container store homepage. find catalogs of office supplies for organization and decluttering.
4	toilet what different kinds of toilets exist, and how do they differ? i'm looking for companies that manufacture residential toilets. where can i buy parts for american standard toilets? how do i fix a toilet that isn't working properly? what companies manufacture bidets? i'm looking for a kohler wall-hung toilet. where can i buy one?
5	mitchell college find the homepage for mitchell college. find the homepage for the athletics department at mitchell college. find web pages that compare mitchell college to other colleges inconnecticut. find information on admissions to mitchell college. how do ibecome a student there?
6	kcs find the homepage for the kansas city southern railroad. i'm looking for a job with the kansas city southern railroad. find the homepage for kanawha county schools in west virginia. find the homepage for the knox county school system in tennessee. find information on kcs energy, inc., and their merger withpetrohawk energy corporation.
7	air travel information what restrictions are there for checked baggage during air travel? what are the rules for liquids in carry-on luggage? find sites that collect statistics and reports about airports,such as flight delays, weather conditions, etc. find the aaa's website with air travel tips. find the website at the transportation security administration(tsa) that offers air travel tips.
8	appraisals what companies can give an appraisal of my home's value? i'm looking for companies that appraise jewelry. find examples of employee performance appraisals. i'm looking for web sites that do antique appraisals.
9	used car parts i'm looking for online sites that sell car parts. i'm looking for the car-part.com web site. i want to find a salvage or junk yard. i'm looking for parts for commercial vehicles such as heavy trucksand semis. i'm looking for the autozone.com web site. i want to find online sources for napa parts.
10	cheap internet what are some low-cost broadband internet providers? do any internet providers still sell dial-up? who can provide inexpensive digital cable television bundled withinternet service? i'm looking for the vonage homepage. find me some providers of free wireless internet access. i want to find cheap dsl providers. is there a way to get internet access without phone service? take me to comcast's homepage.
11	gmat prep classes who are some companies that offer gmat prep classes? i'm looking for some free sample gmat exams to practice on. i'd like to find some tips to help me do well on the gmat. i'm looking for the beatthegmat blog and forums. take me to the veritasprep home page. what's the difference between the gre and the gmat?
12	djs i'm looking for djs that specialize in hip-hop music. i want to hire a dj for a wedding. how do i become a radio disc jockey? what jobs are available for disc jockeys?
13	map take me to the google maps homepage. take me to the msn maps homepage. i want to go to the yahoo maps homepage. i'm looking for mapquest's homepage. i want to find free printable maps. i want to find sources for satellite maps and live satellite photos. i'm looking for an online world atlas.
