1	obama family tree find time magazine photo essay "barack obama's family tree". barack obama's parents grandparents come from? find biographical information barack obama's mother.
2	french lick resort casino find homepage french lick resort casino. casinos located within day's drive french lickresort casino? jobs available french lick casino resort? discounted packages staying french lick resortand casino?
3	getting organized find tips getting organized, reducing clutter managing time. take container store homepage. find catalogs office supplies organization decluttering.
4	toilet different kinds toilets exist, differ? i'm looking companies manufacture residential toilets. buy parts american standard toilets? fix toilet working properly? companies manufacture bidets? i'm looking kohler wall-hung toilet. buy one?
5	mitchell college find homepage mitchell college. find homepage athletics department mitchell college. find web pages compare mitchell college colleges inconnecticut. find information admissions mitchell college. ibecome student there?
6	kcs find homepage kansas city southern railroad. i'm looking job kansas city southern railroad. find homepage kanawha county schools west virginia. find homepage knox county school system tennessee. find information kcs energy, inc., merger withpetrohawk energy corporation.
7	air travel information restrictions checked baggage air travel? rules liquids carry-on luggage? find sites collect statistics reports airports,such flight delays, weather conditions, etc. find aaa's website air travel tips. find website transportation security administration(tsa) offers air travel tips.
8	appraisals companies give appraisal home's value? i'm looking companies appraise jewelry. find examples employee performance appraisals. i'm looking web sites antique appraisals.
9	used car parts i'm looking online sites sell car parts. i'm looking car-part.com web site. want find salvage junk yard. i'm looking parts commercial vehicles heavy trucksand semis. i'm looking autozone.com web site. want find online sources napa parts.
10	cheap internet low-cost broadband internet providers? internet providers still sell dial-up? provide inexpensive digital cable television bundled withinternet service? i'm looking vonage homepage. find providers free wireless internet access. want find cheap dsl providers. way get internet access without phone service? take comcast's homepage.
11	gmat prep classes companies offer gmat prep classes? i'm looking free sample gmat exams practice on. i'd like find tips help well gmat. i'm looking beatthegmat blog forums. take veritasprep home page. what's difference gre gmat?
12	djs i'm looking djs specialize hip-hop music. want hire dj wedding. become radio disc jockey? jobs available disc jockeys?
13	map take google maps homepage. take msn maps homepage. want go yahoo maps homepage. i'm looking mapquest's homepage. want find free printable maps. want find sources satellite maps live satellite photos. i'm looking online world atlas.
14	dinosaurs go discovery channel's dinosaur site, pictures ofdinosaurs games. i'm looking free pictures dinosaurs. want find pictures dinosaurs color in, acoloring book. i'm looking list (or many of) different kinds ofdinosaurs, pictures. take homepage bbc series, "walking dinosaurs".
15	espn sports take espn sports home page. i'm looking college football basketball scores. want find nba basketball standings. i'm looking baseball scores information upcoming livebroadcast games. i'm looking information nascar races. i'm looking information fantasy football leagues.
16	arizona game fish take arizona game fish department homepage. regulations hunting fishing arizona? i'm looking arizona fishing report site. i'd like find guides outfitters hunting trips arizona.
17	poker tournaments want find information world series poker. i'm looking schedule poker tournaments las vegas. take full tilt poker website. i'm looking schedule poker tournaments atlantic city. want find texas hold-em tournaments. find books tournament poker playing.
18	wedding budget calculator want find online guides, tips, checklists planning awedding. looking spreadsheets templates help tabulate abudget wedding. want find example wedding budgets. i'm looking information planning wedding shower, liketheme ideas budget guidelines. plan inexpensive wedding?
19	current take homepage current, program minnesotapublic radio. i'm looking homepage current newspaper new jersey. want find homepage current newspaper hartford. want find homepage current magazine san antonio.
20	defender i'm looking homepage windows defender, anti-spywareprogram. find information land rover defender sport-utility vehicle. want go homepage defender marine supplies. i'm looking information defender, arcade game bywilliams. possible play online? i'd like find user reports windows defender, particularlyproblems software. take homepage chicago defender newspaper.
21	volvo i'm looking volvo's homepage. find reviews volvo xc90 suv. find volvo semi trucks sale (new used)? find volvo dealer. find online source volvo parts.
